,job_id,company_linkedin,title,location,company_id,views,formatted_experience_level,skills_desc,finance_mapping,company,industry,sub_industry,company_health_score,sub_industry_health_score,industry_health_score,industry_return_12m,industry_return_3m,industry_excess_return_12m,industry_excess_return_3m,industry_vol_12m,sub_industry_return_12m,sub_industry_return_3m,sub_industry_excess_return_12m,sub_industry_excess_return_3m,sub_industry_vol_12m,company_return_12m,company_return_3m,company_excess_return_12m,company_excess_return_3m,company_vol_12m,follower_count,skill_abr,skill_name
0,3815847830,northrop grumman,staff software engineer (aht),"los angeles, california, united states",1412.0,410.0,mid-senior level,,Northrop Grumman Corporation,northrop grumman corporation,Aerospace & Defense,Aerospace & Defense,67.76887635044615,0.0,98.24264572394024,0.3588151335433469,0.0618963810084933,0.1989487209412173,0.0023166126656282,0.2204343195919713,0.1099234679266132,0.0385699419592337,-0.0499428210884957,-0.0210098263836313,0.2732031734246636,0.1480210305576719,0.1582539564380962,-0.0118452584574371,0.0986741880952311,0.2732031734246636,1211557,"ENG, IT","Engineering, Information Technology"
1,3871530154,comcast,customer service representative 1 (promo roll),"pennsylvania, united states",1703.0,297.0,associate,,Comcast Corporation,comcast corporation,Communication Services,Telecom Services,-87.40120088734984,-71.31687322782858,71.08373227748741,0.2731888391171277,0.0757174883757876,0.1133224265149981,0.0161377200329224,0.2061246366244766,-0.0334628913431479,-0.112770454915331,-0.1933291803582569,-0.1723502232581962,0.2791506988811149,-0.2720014883869249,-0.1472850325213359,-0.4318677774020339,-0.2068648008642011,0.2791506988811149,589468,OTHR,Other
2,3884435881,gulfstream aerospace,consultant global workforce relations,"savannah, ga",8584.0,17.0,mid-senior level,,General Dynamics Corporation,general dynamics corporation,Aerospace & Defense,Aerospace & Defense,54.46817541685618,0.0,98.24264572394024,0.3588151335433469,0.0618963810084933,0.1989487209412173,0.0023166126656282,0.2204343195919713,0.1099234679266132,0.0385699419592337,-0.0499428210884957,-0.0210098263836313,0.2732031734246636,0.1257181935306639,0.1196954372128433,-0.034148095484445,0.0601156688699782,0.2248773546517941,355796,"CNSL, IT, SALE","Consulting, Information Technology, Sales"
3,3884436854,gulfstream aerospace,rs aftermarket expediter assoc,"appleton, wi",8584.0,4.0,entry level,,General Dynamics Corporation,general dynamics corporation,Aerospace & Defense,Aerospace & Defense,54.46817541685618,0.0,98.24264572394024,0.3588151335433469,0.0618963810084933,0.1989487209412173,0.0023166126656282,0.2204343195919713,0.1099234679266132,0.0385699419592337,-0.0499428210884957,-0.0210098263836313,0.2732031734246636,0.1257181935306639,0.1196954372128433,-0.034148095484445,0.0601156688699782,0.2248773546517941,355796,"MGMT, MNFC","Management, Manufacturing"
4,3884436855,gulfstream aerospace,operations engineer i,"savannah, ga",8584.0,20.0,entry level,,General Dynamics Corporation,general dynamics corporation,Aerospace & Defense,Aerospace & Defense,54.46817541685618,0.0,98.24264572394024,0.3588151335433469,0.0618963810084933,0.1989487209412173,0.0023166126656282,0.2204343195919713,0.1099234679266132,0.0385699419592337,-0.0499428210884957,-0.0210098263836313,0.2732031734246636,0.1257181935306639,0.1196954372128433,-0.034148095484445,0.0601156688699782,0.2248773546517941,355796,"ENG, IT","Engineering, Information Technology"
5,3884438437,gulfstream aerospace,avionics/elec tech ii - retrofit,"savannah, ga",8584.0,5.0,entry level,,General Dynamics Corporation,general dynamics corporation,Aerospace & Defense,Aerospace & Defense,54.46817541685618,0.0,98.24264572394024,0.3588151335433469,0.0618963810084933,0.1989487209412173,0.0023166126656282,0.2204343195919713,0.1099234679266132,0.0385699419592337,-0.0499428210884957,-0.0210098263836313,0.2732031734246636,0.1257181935306639,0.1196954372128433,-0.034148095484445,0.0601156688699782,0.2248773546517941,355796,"ENG, IT","Engineering, Information Technology"
6,3884440246,gulfstream aerospace,rs aircraft tech ii,"los angeles, california, united states",8584.0,7.0,entry level,,General Dynamics Corporation,general dynamics corporation,Aerospace & Defense,Aerospace & Defense,54.46817541685618,0.0,98.24264572394024,0.3588151335433469,0.0618963810084933,0.1989487209412173,0.0023166126656282,0.2204343195919713,0.1099234679266132,0.0385699419592337,-0.0499428210884957,-0.0210098263836313,0.2732031734246636,0.1257181935306639,0.1196954372128433,-0.034148095484445,0.0601156688699782,0.2248773546517941,355796,"ENG, IT","Engineering, Information Technology"
7,3884443048,at&t,field sales representative,"asheville, nc",1052.0,8.0,,,AT&T Inc.,at&t inc.,Communication Services,Telecom Services,29.64702874732288,-71.31687322782858,71.08373227748741,0.2731888391171277,0.0757174883757876,0.1133224265149981,0.0161377200329224,0.2061246366244766,-0.0334628913431479,-0.112770454915331,-0.1933291803582569,-0.1723502232581962,0.2791506988811149,0.2794019811362096,-0.0276268201087092,0.1195356921211006,-0.0872065884515743,0.2293408898864203,1485885,"BD, SALE","Business Development, Sales"
8,3884825974,microsoft,principal software engineer,"redmond, wa",1035.0,10.0,,,Microsoft Corporation,microsoft corporation,Software,Software - Infrastructure,15.766131119060962,59.999999999999986,-11.725733354640628,0.2190847120322476,0.0132182468555417,0.059218299430118,-0.0463615214873234,0.2746309630222619,1.0586888726851915,0.1051289208333161,0.8988225836700825,0.0455491524904509,0.4694527210531821,0.235697031491092,0.0085564641232298,0.0758307424759829,-0.0510233042196353,0.246713189695226,22253257,"ENG, IT","Engineering, Information Technology"
9,3884842826,general dynamics ordnance and tactical systems,"senior manager, supply chain","healdsburg, ca",744959.0,8.0,mid-senior level,,General Dynamics Corporation,general dynamics corporation,Aerospace & Defense,Aerospace & Defense,54.46817541685618,0.0,98.24264572394024,0.3588151335433469,0.0618963810084933,0.1989487209412173,0.0023166126656282,0.2204343195919713,0.1099234679266132,0.0385699419592337,-0.0499428210884957,-0.0210098263836313,0.2732031734246636,0.1257181935306639,0.1196954372128433,-0.034148095484445,0.0601156688699782,0.2248773546517941,33352,"MGMT, MNFC","Management, Manufacturing"
